# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=story,Story
	ICON=Icons/story.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		This game features Auto Saving
	AUTOSAVING_DESC_NS=
		Do not turn off the console
		when this icon is displayed
	AUTOSAVING_TITLE_PS4=
		This game features Auto Saving
	AUTOSAVING_DESC_PS4=
		Do not turn off the console
		when this icon is displayed
	AUTOSAVING_TITLE_XB1=
		This game features Auto Saving
	AUTOSAVING_DESC_XB1=
		Do not turn off your console
		when this icon is displayed
	AUTOSAVING_TITLE_PC=
		This game features Auto Saving
	AUTOSAVING_DESC_PC=
		Do not turn off your computer
		when this icon is displayed

# Main Menu
	MENU_DEBUG=		~DEBUG~
		Maybe I'll finally hit a thousand followers with these.

		{trigger 1 Theo puts away phone}
		
		[THEO left normal]
		Oh! We need to formally commemorate this occasion...
		
		[THEO left excited]
		Take a selfie with me!
		
		{+close}
		{artiboom_textbox madeline}
		{!}{*}Khhhh!{/*}{/!}
		
		[THEO left worried]
		...or not.

	CH2_THEO_B=
		[THEO left serious]
		Sorry about that.

		{+close}
		{artiboom_textbox madeline}
		...
		
		{+thought}...whatever.{+endthought}

	CH2_THEO_C= 
		[THEO left wtf]
		Are you getting any data up here?
		
		{+close}
		{artiboom_textbox madeline}
		???
		
		[THEO left nailedit]
		Right, you wouldn't have a phone.

		[THEO left thinking]
		Just talking on reflex, don't mind me.

	CH2_THEO_D=

	CH2_THEO_E=
		
	CH2_END_PHONECALL=
		[MOM_PHONE right normal]
		Hello?
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}Wait, what?{+endthought}
		
		{+thought}{0.3}.{0.3}.{0.3}.{0.5}right,{0.5} {#cc6fc3}Pebbles{#} wouldn't be...{+endthought}

		[MOM_PHONE right normal]
		Is anyone there?

		{+close}
		{artiboom_textbox madeline}
		Waaaw wa.
		
		[MOM_PHONE right concerned]
		Oh, drat. The phone's acting up again.

		[MOM_PHONE right normal]
		Sorry, dearie, I'll have to call you back.
		
		# Done to avoid transition
		{artiboom_textbox default}
		{# 999a9a}*click*{#}

	CH2_JOURNAL=
		There's a dusty old book open on the table.
		A poem is written on the faded page.

	CH2_POEM=
		An apparition{n}
		Not of this world{n}
		But because of it{n}
		Lurking out of frame{n}{n}
		Awake, my heart is a fortress{n}
		In dreams I am vulnerable

# *** Chapter 03 ***

	CH3_OSHIRO_FRONT_DESK=
		[OSHIRO right normal]
		Welcome! May I help you?

		{+close}
		{artiboom_textbox madeline}
		Wawa... waaw wa?
		
		[OSHIRO right worried]
		A ghost? Don't be silly.
		
		[OSHIRO right normal]
		I am the concierge of this fine establishment.

		[OSHIRO right worried]
		Welcome to{.3} {~}{>> .2}the world-renowned{/~}{>>}{n}{big}Celestial Resort Hotel!{/big}

		[OSHIRO right normal]
		{+ mroshiro}, at your service.

		{+close}
		{artiboom_textbox madeline}
		Wa, waww wa waaw waa?

		[OSHIRO right nervous]
		Well, of course I can understand you!

		{portrait none}
		{# 999a9a}Note:{n}From now on, text speaking with{n}{+ oshiro} will be translated.{#}
		
		[OSHIRO right sidehappy]
		{+thought}Two guests in one day!{n}Business is finally picking up!{+endthought}
		
		[OSHIRO right normal]
		How long will you be staying with us?
		
		{+close}
		{artiboom_textbox madeline}
		Uh... what do you mean?
		
		[OSHIRO right worried]
		...staying with us?
		
		[OSHIRO right sideworried]
		{+thought}Do they not know what a hotel is?{+endthought}
		
		{+close}
		{artiboom_textbox madeline}
		You know I can still hear you, right?
		
		[OSHIRO right nervous]
		...
		
		[OSHIRO right normal]
		In any case, our rear service door{n}is reserved for hotel staff only.

		[OSHIRO right worried]
		However, our top floor presidential suite{n}features a world-class view of the peak.

		[OSHIRO right normal]
		Yes, you'll be quite comfortable up there.
		
		{+close}
		{artiboom_textbox madeline}
		That... sounds nice.
		
		[OSHIRO right sidehappy]
		{+thought}The presidential suite, marvelous idea {+ oshiro}!{+endthought}
		
		[OSHIRO right normal]
		What is your name, for our records?
		
		{+close}
		{artiboom_textbox madeline}
		Well, I don't...

		{+close}
		{artiboom_textbox madeline}
		{+MADELINE}. You can just call me {+MADELINE}. 

		{trigger 0 Camera zooms back out}
		
		[OSHIRO right normal]
		Right this way, {+MS_MADELINE}.

	CH3_GUESTBOOK=
		It appears to be a very old and dusty guestbook.
		Many of the pages are damaged or missing.
		The comments, however, are glowing...
		"We'll never forget our time here."
		"I've never felt more at peace. Thank you."
	
	CH3_OSHIRO_HALLWAY_A=
		[OSHIRO right normal]
		Please follow me closely, {+MS_MADELINE}.
		The elevator is just down the hall.
		
		{+close}
		{artiboom_textbox madeline}
		This place is in pretty rough shape...

		You sure this is safe?
		
		[OSHIRO right nervous]
		Of course it is!

		[OSHIRO right worried]
		The Celestial Resort Hotel would never{n}endanger a patron!

		[OSHIRO right sideworried]
		{+thought}Rough shape? What did she mean by that?{+endthought}

		[OSHIRO right normal]
		Oh! Please allow me to carry your belongings.
		
		{+close}
		{artiboom_textbox madeline}
		...?

		Oh, do you mean the drone?

		No way in hell. I'm keeping it.
		
		[OSHIRO right normal]
		Hmm. Very well.
		
		[OSHIRO right sidesuspicious]
		{+thought}What a peculiar guest.{+endthought}

	CH3_OSHIRO_HALLWAY_B=
		[OSHIRO right normal]
		{+MS_MADELINE}, I really must implore you to keep up.

		[OSHIRO right worried]
		I'm running a world-class establishment here.{n}I don't have time to wait around for meandering guests.
		
		{+close}
		{artiboom_textbox madeline}
		Hey! It's not my fault this damned place is collapsing!
		
		[OSHIRO right sideworried]
		{+thought}{+oshiro} you idiot, the customer is always right!{+endthought}
		{+thought}Business is finally picking up{n}and you lose your temper!?{+endthought}
		
		[OSHIRO right nervous]
		Oh... of course {+MS_MADELINE}!
		My sincere apologies, I was out of line.

		[OSHIRO right normal]
		Please, feel free to explore at your leisure.

	CH3_MEMO_OPENING=
		An old paper sticks out from amid the clutter...

	CH3_MEMO=
		{big}Attention hotel staff:{/big}{n}{n}
		It is my sad duty to inform you that the Celestial Resort Hotel will close indefinitely following this season, due to circumstances beyond our control.{n}{n}
		It was an honor to have served alongside you all, as we worked tirelessly to ensure that our guests enjoyed the most hospitable and memorable experience possible.{n}{n}
		I write this with a heavy heart. This hotel has become my home, its staff and patrons my family. I will miss you all dearly.{n}{n}
		-Mr\. Oshiro

	CH3_OSHIRO_CLUTTER0=
		[OSHIRO left worried]
		Argh! This clutter is out of control!

		{trigger 1 Oshiro paces to the left}

		[OSHIRO left worried flip]
		When did this happen!?

		{trigger 2 Oshiro paces back to the right}

		[OSHIRO left worried]
		I don't even know where to begin...
		
		{+close}
		{artiboom_textbox madeline}
		I {0.3}{>>}told{/>>} you this was unsafe.
		
		[OSHIRO left nervous]
		You're right {+MS_MADELINE},{n}I'll never sort this mess out alone.

		{trigger 0 Oshiro Collapses}
		
		[OSHIRO left drama]
		It's hopeless.

		{+close}
		{artiboom_textbox madeline}
		That's not what I meant...

		...		
		
		maybe... {0.2}I could help out?
		
		[OSHIRO left normal]
		You're too kind.
		
		[OSHIRO left drama]
		But I wouldn't even bother.
		It's a lost cause.

	CH3_OSHIRO_CLUTTER0_B=
		{trigger 0 Oshiro gets back up}

		{+close}
		{artiboom_textbox madeline}
		{+thought}This better not be a mistake...{+endthought}

	CH3_OSHIRO_CLUTTER1=
		[OSHIRO right normal]
		I haven't even begun cleaning and already{n}I feel a renewed lightness of spirit!
		That's the power of positive thinking!
		
		{+close}
		{artiboom_textbox madeline}
		...really?
		
		{artiboom_textbox madeline}
		{!}I{/!}{0.3} cleared out some of the clutter for you.
		
		[OSHIRO right normal]
		Oh yes, thank you, {+MS_MADELINE}.
		But please, relax, and let the hotel staff handle it!
		
		[OSHIRO right sidesuspicious]
		{+thought}{+oshiro}, you fool. You're losing her.{+endthought}

		[OSHIRO right sideworried]
		{+thought}Guests don't want to spend their time cleaning!{+endthought}
		
		{+close}
		{artiboom_textbox madeline}
		...yeah.

		[OSHIRO right worried]
		This is the finest hotel you'll ever visit, you'll see!
		
		[OSHIRO right sideworried]
		{+thought}How could I let my problems pile up like this?{+endthought}

	CH3_OSHIRO_CLUTTER1_B=

	CH3_OSHIRO_CLUTTER2=
		{+close}
		{artiboom_textbox madeline}
		{+thought}Voids, I'm tired...{+endthought}

		Are you going to help me, or...

		[OSHIRO right worried]
		Yes, of course!
		
		[OSHIRO right normal]
		We can talk more once I finish cleaning.

		[OSHIRO right worried]
		I'm very busy!

		[OSHIRO right sidesuspicious]
		{+thought}Yes... people have no respect these days.{+endthought}
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}...fucking prick.{+endthought}

	CH3_OSHIRO_CLUTTER2_B=

	CH3_OSHIRO_CLUTTER_ENDING=
		{anchor bottom}
		[OSHIRO left normal]
		There you are!
		You certainly have a knack for wandering off.
		
		{+close}
		{artiboom_textbox madeline}
		...
		
		[OSHIRO left normal]
		The Celestial Resort Hotel extends its{n}gratitude for your assistance, {+MS_MADELINE}.
		Of course, the staff had the mess under control.
		
		{+close}
		{artiboom_textbox madeline}
		Oh, sure. Yeah.
		
		[OSHIRO left sideworried]
		{+thought}How humiliating.{+endthought}
		
		[OSHIRO left worried]
		You must be eager to see your room!

		[OSHIRO left normal]
		It's just up the elevator and down the hall.
		
		{+close}
		{artiboom_textbox madeline}
		Sure, what the hell. 
		Show me the presidential suite.
		It sounds lovely.
		
		[OSHIRO left sideworried]
		{+thought}Now's your last chance, {+oshiro}. Don't lose her now.{+endthought}

	CH3_THEO_NEVER_MET=
		{+close}
		{artiboom_textbox madeline}
		Waaw, wawa wa?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		{!}What the!?{/!}

		[THEO right wtf]
		Just when I thought today couldn't get any weirder.
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}Fuck, right, can't understand me.{+endthought}

		{+close}
		{artiboom_textbox madeline}
		Wawa waw!
		
		[THEO right wtf]
		A{0.2}a{0.2}nd it can understand me. Great.

		[THEO right nailedit]
		Well, the name's {+theo}.
		
		[THEO right thinking]
		I'm all about spooky mysteries,{n}but this is getting too real.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_NEVER_INTRODUCED=
		{+CH3_THEO_INTRO}

	CH3_THEO_INTRO=
		{+close}
		{artiboom_textbox madeline}
		{+thought}{+theo}!{+endthought}

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		Oh, thank God! I am {~}{!}so{/!}{/~} happy to see you right now.
		I'm all about spooky mysteries,{n}but this is getting too real.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_ESCAPING=
		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right wtf]
		You {~}see{/~} that {+oshiro} dude? 
		He's a creepy old weirdo.
		I bet he's cleaning out a nook{n}to hide our bodies as we speak.

		{trigger 1 Theo goes back to prying off the vent cover}
		
		[THEO right worried]
		I'm gonna crawl through this vent,{n}it's blowing cold air in from outside.
		Come on!
		
		{+close}
		{artiboom_textbox madeline}
		Wawa {!}wa{/!}! Waaw wawa.
		
		[THEO right worried flip]
		...are you coming?
		
		{trigger 2 Theo removes vent cover and it flies off. Theo falls down as it comes off, and gets back up}

		[THEO right worried]
		We need to get out of here and call{n}an expert on {0.2}{*}creepy old dudes{/*}.
		We aren't prepared for this.
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}I'll be fine!{+endthought}
		
		[THEO right wtf]
		Man, you're more stubborn than my sister.
		I thought that was impossible.

		{trigger 3 Theo walks to Maddy}
		
		[THEO right serious]
		Take care of yourself. I'll see you outside.

	CH3_THEO_VENTS=
		{anchor bottom}
		[THEO right normal upsidedown]
		Man, it's a maze in here.
		{+elcreepo} treating you well?
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}Well, I wanted to stay, but then he started being a bitch about it.{+endthought}
		
		{+thought}...ugh, that suite sounds nice, though...{+endthought}

		[THEO right wtf upsidedown]
		Seriously. My bad idea radar is {~}off the charts{/~} on this one. 
		You should get out of here.

		[THEO right worried upsidedown]
		You have to think about your safety.
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}{+theo}. I'll be okay.{+endthought}
		
		[THEO right thinking upsidedown]
		...
		Yeah yeah, I didn't expect you to listen.

		[THEO right wtf upsidedown]
		See you on the outside, jail... thing.

	CH3_OSHIRO_BREAKDOWN=
		{anchor top}
		[OSHIRO left sideworried]
		{+thought}This is it {+oshiro}, your last chance.{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidesuspicious]
		{+thought}You already ruined it.{n}Making a guest clean up your mess?{+endthought}
		{+thought}She'll never stay.{+endthought}

		{trigger 1 Oshiro paces}
		
		[OSHIRO left sideworried]
		{+thought}No, she's still here. There's still a chance!{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidehappy]
		{+thought}The presidential suite is the key.{n}It will surely impress her!{+endthought}

		{trigger 2 Oshiro falls to ground, spawns dust creatures}
		
		[OSHIRO left sideworried]
		{+thought}Get it together, {+oshiro}!{+endthought}

		{trigger 3 Enter Madeline}
		
		[OSHIRO left nervous]
		There you are, {+MS_MADELINE}!
		Follow me quickly! We're almost there.

	CH3_DIARY=
		{anchor bottom}
		It's {+MROSHIRO}'s diary.
		The final entry appears to be decades old...
		"As of today the hotel is officially closed. Charlotte organized the staff for a farewell hike up the mountain. Most of us have never seen the summit."
		"It seemed like a fitting goodbye, but when the time came, I couldn't bear to leave without looking around one last time. I told them to go on without me."
		"I will catch up with them soon, after{n}I double-check that everything is in order..."
		"I can't believe my time here is over.{n}What am I going to do now?"
		"Perhaps I'll stay one last night, so that{n}the hotel and I can have a proper goodbye..."

	CH3_OSHIRO_SUITE=
		{anchor bottom}
		[OSHIRO left normal]
		Here we are, our award-winning presidential suite!

		[OSHIRO left worried]
		Truly, it is the very definition of rustic luxury.

		[OSHIRO left normal]
		I'll stand back and allow you to soak in the majesty.
		I understand it can be a lot to handle.

		{trigger 3 Madeline walks around the room and looks around}
		
		[OSHIRO right nervous]
		So? What do you think?
		
		{+close}
		{artiboom_textbox madeline}
		Well, alright.
		This is pretty spacious, all things considered.
		That bed looks comfy too.
		Little rough around the edges, but I like it.

		[OSHIRO right worried]
		{*}I knew it would impress you!{/*}

		{+close}
		{artiboom_textbox madeline}
		Yeah.

		...

		[OSHIRO right nervous]
		Oh err, I almost forgot to mention... 
		Valued guests such as yourself stay in{n}our finest accommodations at half price!
		
		{+close}
		{artiboom_textbox madeline}
		...oh, shit. I don't have...

		{trigger 0 Badeline appears in the mirror}
		
		[OSHIRO right serious]
		Please, {+MS_MADELINE}.
		Please stay. I can accomodate.
		
		{trigger 1 Badeline escapes the mirror}
		
		{+close}
		{artiboom_textbox badeline}
		{+MADELINE}, sweetie, forget this loser.
		
		[OSHIRO left serious]
		Loser? {silent_trigger 6}
		
		{+close}
		{artiboom_textbox badeline}
		You're in denial, old man. 
		This place is a dump.
		No one would {~}ever{/~} want to stay here.
		
		{0.4}{~}Someone had to say it.{/~}

		{trigger 4 Madeline steps closer to Oshiro}
		
		{+close}
		{artiboom_textbox madeline}
		Oh, fucking {*}you{/*} again.{0.5} Great.
		{+oshiro}, don't pay attention to her.
		
		[OSHIRO right serious]
		I... 

		[OSHIRO right lostcontrol]
		I'm very busy.
		Please leave, {+MS_MADELINE}. {silent_trigger 5 Madeline jumps back}
		
		{+close}
		{artiboom_textbox badeline}
		Come on {~}{+MS_MADELINE}{/~}, you heard the man.

		{trigger 2 Badeline blasts a hole in the ceiling}
		
		{+close}
		{artiboom_textbox madeline}
		Hey, no!

	CH3_OSHIRO_SUITE_SAD0=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}Why would she say my beautiful hotel is a dump?{+endthought}

	CH3_OSHIRO_SUITE_SAD1=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}How dare she insult you like that.{+endthought}

	CH3_OSHIRO_SUITE_SAD2=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}What if she's right?{+endthought}

	CH3_OSHIRO_SUITE_SAD3=
		{anchor bottom}
		[OSHIRO right sidesuspicious]
		{+thought}Of course she's right.{n}You couldn't even clean up without her help.{+endthought}

	CH3_OSHIRO_SUITE_SAD4=
		{anchor bottom}
		[OSHIRO right lostcontrol]
		{+thought}I tried. I'm doing my best.{+endthought}

	CH3_OSHIRO_SUITE_SAD5=
		{anchor bottom}
		[OSHIRO right serious]
		{+thought}{+MS_MADELINE} only wanted to help!{+endthought}

	CH3_OSHIRO_SUITE_SAD6=
		{anchor bottom}
		[OSHIRO right sideworried]
		{+thought}But why was she so cruel?{+endthought}

	CH3_OSHIRO_START_CHASE=
		{+close}
		{artiboom_textbox badeline}
		That was adorable.
		I thought we'd {~}never{/~} get rid of him.{n}You owe me one.

		{+close}
		{artiboom_textbox madeline}
		{*}{!}Owe you one!?{/!}{/*}
		I nearly just got an actual rest and you ruined it!
		How is {!}that{/!} a favor!?

		{trigger 0 Maddy walks away}
		
		{+close}
		{artiboom_textbox badeline}
		{~}Aww, look at you~{/~}
		Trying out therapy for a change?
		Maybe you need some yourself~

		{trigger 1 Maddy turns around}
		
		{+close}
		{artiboom_textbox madeline}
		Why won't you just fuck off?

		{trigger 2 Oshiro enters}
		
		[OSHIRO left serious]
		{+MS_MADELINE}, before you go...
		I need to ask one question...
		
		[OSHIRO left serious]
		Why would you be so nice to me, only to run away?
		What did I do wrong?
		
		{+close}
		{artiboom_textbox badeline}
		{~}Oh{/~}, do you not understand?
		She only helped you because she pitied you.
		She {~}never{/~} cared about you.
		
		{+close}
		{artiboom_textbox madeline}
		Shut the fuck up! 
		I just wanted to help.
		
		{+close}
		{artiboom_textbox badeline}
		You're both useless.

		{trigger 3 Badeline disappears, Oshiro gets angry}

		[OSHIRO left lostcontrol]
		Useless!?
		You only came here to humiliate me...
		I won't grovel at your feet any longer!

	CH3_OSHIRO_CHASE_END=
		{anchor top}
		{artiboom_textbox madeline}
		{+mroshiro}, stop!

		{trigger 0 Oshiro slams the roof below their feet and it begins shaking}
		
		{artiboom_textbox madeline}
		You're going to get both of us killed!

	CH3_ENDING=
		[OSHIRO left serious]
		...
		I've decided to close the hotel for repairs.
		The second floor plumbing is leaking...
		...the library is in complete disarray...
		...not to mention the hole in the{n}ceiling of the presidential suite.

		{trigger 0 Turn and pause, turn back}

		[OSHIRO left serious]
		Please, just leave me alone.

# *** Chapter 04 ***

	CH4_GRANNY_1=
		{artiboom_textbox madeline}
		{+thought}Oh great, you again.{+endthought}

		{trigger 3 zoom in}
		
		[GRANNY right normal]
		Well well, I didn't expect to see you up here!
		I'm glad you're still in one piece.
		I see you made it through the hotel,{n}did you meet {+mroshiro}?

		{trigger 4 maddy turns around}

		{+close}
		{artiboom_textbox madeline}
		...
		{*}Waaw waw wa!{/*}{n}Waaw, wawa, awaw awaw wa!

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		Ah, there it is. 

		{trigger 1 Stop Laughing}
		
		[GRANNY right normal]
		{+oshiro} is a lost soul, dear.
		That place is much more than just a hotel to him.
		Don't make him your project.

		{trigger 5 maddy approaches}
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}{*}This {+mountain} must've drove both of you crazy.{/*}{+endthought}

		{trigger 2 Wait a beat}
		
		[GRANNY right normal]
		What, do you think I'm crazy for being up here?

		{+close}
		{artiboom_textbox madeline}
		{+thought}Oh, don't tell me you can read minds.{+endthought}

		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		Maybe you're right.
		How would I know if I were crazy?

		{trigger 1 Stop Laughing}
		
		[GRANNY right normal]
		The way I see it, the {+mountain} can't{n}bring out anything that isn't already in you.
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}...{+endthought}
		
		{trigger 0 Start Laughing}
		
		[GRANNY right laugh]
		But you gotta be a few crows short of a murder{n}to live up here in the first place, right?

		{trigger 2 Wait a beat}
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}...okay, I think I'm in the clear.{+endthought}

		{trigger 1 Stop Laughing}
		{trigger 6 Maddy walks past granny}
		
		[GRANNY left normal flip]
		Sometimes it's hard to tell the difference{n}between stubbornness and determination, isn't it?
		You remind me of myself when I was young.

		{trigger 0 Start Laughing}

		[GRANNY left laugh flip]
		Good luck, and mind the wind!

	CH4_GRANNY_2=
		[GRANNY right normal]
		When I was younger I couldn't imagine{n}staying in one place for this long.
		But then I found this {+MOUNTAIN}.
		I knew right away that it would be my home.

		{+close}
		{artiboom_textbox madeline}
		..?

		[GRANNY right normal]
		The {+MOUNTAIN} shows you who you really are.
		Whether you're ready for it or not.
		It keeps me honest.

	CH4_GRANNY_3=

	CH4_GONDOLA=
		{anchor top}
		[UNKNOWN]
		Hey! Wait up!

		{trigger 0 Enter Theo from above, he falls and lands on the ground face-down}
		
		[THEO left nailedit]
		{%}{*}N a i l e d    i t .{/*}{/%}

		{trigger 1 Check on Theo}
		
		{+close}
		{artiboom_textbox madeline}
		Wa! Waaw wawa?
		
		[THEO left nailedit]
		Oof. Don't worry, I'm fine. 
		Just give me a sec.

		{trigger 2 Theo gets up}
		
		[THEO left excited]
		A gondola! I've always wanted to ride one of these.
		
		{+close}
		{artiboom_textbox madeline}
		...{0.3}{*}wwrrrrr{/*}...
		
		[THEO left excited]
		Let's do it!

		{trigger 3 Look at Lever}
		
		[THEO right normal]
		This lever looks important.

		{trigger 4 Pull Lever}
		
		[THEO right normal]
		Easy every time.

		[THEO right thinking]
		I was probably a gondola operator in a past life.

		{+close}
		{artiboom_textbox madeline}
		{+thought}I don't think this thing is safe...{+endthought}

		{trigger 5 Wait a bit}

		[THEO right normal]
		How'd it shake out with {+oshiro}?

		{+close}
		{artiboom_textbox madeline}
		{*}...{/*}

		[THEO right normal]
		That look tells me everything.
		
		[THEO right thinking]
		I hate to say I told you so, but...

		[THEO right normal]
		You didn't get hurt, that's what matters.

		{trigger 6 Wait for gondola to reach center}
		
		[THEO right excited flip]
		Okay, if we don't get a selfie on{n}this thing we're going to regret it.

		{+close}
		{artiboom_textbox madeline}
		{+thought}...ugh, fine.{+endthought}

		{trigger 7 Seflie, then gondola stalls out and badeline appears}
		{anchor bottom}
		
		{+close}
		{artiboom_textbox madeline}
		Wwawaa!?
		
		[THEO right wtf flip]
		Huh. Looks like we stalled out.

		{trigger 8 Madeline moves left}
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}Fuck, this is really bad...{+endthought}

		[THEO right wtf]
		Maybe if I...

		{trigger 9 lever snaps off}
		
		[THEO right worried]
		Well, that's not good.

		{trigger 10 tentacles appear}
		
		{+close}
		{artiboom_textbox madeline}
		{*}...{/*}

		{trigger 11 tentacles grow}
		
		[THEO right worried]
		Hey, you cool?

		{trigger 12 Maddy can't breathe}
		
		[THEO right serious]
		Hey. It's okay.
		You're having a panic attack.

		{+close}
		{artiboom_textbox madeline}
		{*}{!}Waawa wa kkrawa?!{/!}{/*}

		[THEO right thinking]
		Come on, don't take this out on me.

		[THEO right serious]
		Stay with me here.
		My grandpa taught me a trick for this.
		Close your eyes.

		{trigger 13 Play breathing minigame}
		
		[THEO right normal]
		See? Easy every time.

		{trigger 14 Gondola continues to the end station}

		{anchor top}
		
		[THEO left normal]
		Feeling any better?
		
		{+close}
		{artiboom_textbox madeline}
		{*}...{/*}

		{trigger 15 Wait a bit}

		{trigger 16 Theo takes out phone}
		
		[THEO left excited]
		Oh. My. God.
		{silent_trigger 17 Maddy faces theo}
		Look at this selfie though!

	CH4_GONDOLA_FEATHER_1=
		Picture a feather floating in front of you.

	CH4_GONDOLA_FEATHER_2=
		See it?

	CH4_GONDOLA_FEATHER_3=
		Okay.
	
	CH4_GONDOLA_FEATHER_4=	
		Your breathing keeps that feather floating.

	CH4_GONDOLA_FEATHER_5=
		Just breathe slow and steady, in and out.

# *** Chapter 05 ***

	CH5_ENTRANCE=
		[THEO right excited flip]
		Oh man, look at this place!
		Feeling adventurous?

		{trigger 0 Maddy turns right}

		{+close}
		{artiboom_textbox madeline}
		{+thought}It looks pretty dark in there...)
		(...does he have a light?{+endthought}

		{trigger 1 Theo turns left}
		
		[THEO right normal]
		I'll just take a quick peek, snap a few photos.

		{trigger 1 Theo turns right}

		[THEO right excited flip]
		This place must be ancient!
		
		[THEO right excited flip]
		My {# FFFF4C}InstaPix{#} followers are gonna eat this up.

		{trigger 2 Theo leaves}
		
		{+close}
		{artiboom_textbox madeline}
		{+thought}...)
		(...something feels off...{+endthought}

	CH5_PHONE=
		{+close}
		{artiboom_textbox madeline}
		{+thought}Oh,{0.3} shit.{+endthought}

		{trigger 0 Maddy walks to phone, ducks to pick it up}

		{+thought}This is {+THEO}'s phone...{+endthought}

		{trigger 1 Maddy stands back up}

		{+thought}Okay, okay, it's alright. Don't panic.)
		(Maybe it just.{0.1}.{0.1}.{0.3} fell out of his pocket.)
		(I'll give it back to him when I find him.{+endthought}

	CH5_THEO_MIRROR=
		{+close}
		{artiboom_textbox madeline}
		{>>}{+thought}Wait...{+endthought}
		
		[THEO_MIRROR right excited]
		Hey!
		
		[THEO_MIRROR right wtf]
		...uh, why are you inside a mirror?
		
		{+close}
		{artiboom_textbox madeline}
		Wawa, {~}waawa{/} wa?

		[THEO_MIRROR right thinking]
		Let me start from the beginning.
		
		[THEO_MIRROR right wtf]
		I was taking a nonchalant mirror selfie...
		Y'know, {~}{# aaaaaa}"It's your boy {+THEO}{# aaaaaa} in this{n}ancient temple, no big deal."{#}{/~}

		[THEO_MIRROR right thinking]
		{# ffff9b}\#blessed{#}
		
		[THEO_MIRROR right serious]
		Next thing I know I wake up lying on the ground.
		
		[THEO_MIRROR right serious]
		It's, uh... it's really dark and weird. There's...
		
		[THEO_MIRROR right wtf]
		Wait, something's coming.
		I'm feeling a strong inclination to run away.
		
		[THEO_MIRROR right serious]
		Be careful, okay?

	CH5_SHADOW_MADDY_0=
		{+close}
		{artiboom_textbox madeline}
		{*}You!{/*}
		Where the fuck are we?
		{!}{*}What did you do?{/*}{/!}
		
		{+close}
		{artiboom_textbox badeline}
		Oh, do you think {~}I'm{/~} doing this?
		That's precious.
		
		Darling, this is {~}exactly{/~} what I warned you about.
		
	CH5_SHADOW_MADDY_1=
		{+close}
		{artiboom_textbox madeline}
		Stop fucking running away from me!
		Explain what's going on. {*}Now!{/*}

		{+close}
		{artiboom_textbox badeline}
		You still don't get it?

		The {+mountain} gave me this body.

		But I'm not the only thing living{n}in that{0.3} fucked up head of yours.

		Don't like what you see?

		{~}What a surprise.{/~}
		
		{+close}
		{artiboom_textbox madeline}
		{0.3}{!}Shut up!{/!}

